NutrientSourceID,NutrientSourceCode,NutrientSourceDescription,NutrientSourceDescriptionF
0,0,No change from USDA,Provient int闁搑alement de l'USDA
1,1,Nutrient levels changed to meet the canadian regulations ,Teneur en nutriments modifi闁?pour satisfaire la r闁搇ementation canadienne
2,2,Nutrient calculated from data other than USDA,Nutriment calcul?avec des donn闁憇 autres que l'USDA
3,3,Nutrient analyzed in a Canadian government lab,Nutriment analys?en laboratoire du gouvernement canadien
4,4,Nutrient calculated from USDA data,Nutriment calcul?d'apr閼?les donn闁憇 de l'USDA
5,5,Nutrient imputed from a similar USDA food,Nutriment imput?d'un aliment semblable du USDA
6,6,Nutrient from canadian industry. Documentation incomplete.,Nutriment provenant de l'industrie canadienne. Documentation incompl閼.
7,7,Nutrient analyzed in Canadian product (non-government lab). Documentation complete.,Nutriment analys?d'un produit canadien (labo non gouvernemental). Documentation compl閼.
8,8,Nutrient value of food created for the Nutrition Canada Survey,Nutriment provenant d'un aliment cr娈?pour l'Enqu闃緀 Nutrition Canada
9,9,Nutrient from the label declaration,Nutriment tir?de l'information nutritionnelle de l'闁爄quette
10,10,Nutrient derived from scientific literature,Nutriment provenant de la litt闁瀉ture scientifique
12,12,Nutrient value is an assumed zero,Nutriment estim??z闁瀘 
14,14,Provisional data,Donn闁?provisoire
15,15,Nutrient value imputed from data other than USDA,Nutriment imput?de source autre que l'USDA
82,82,Danish Food Composition Databank (revision 5.0)   Danish Institute for Food and Veterinary Research (revision 5),Base de donn闁憇 danoise sur la composition des aliments. Institut danois sur la recherche alimentaire et v闁犻枮inaire.
83,83,Fineli.  Finnish food composition database.  National Public Health Institute.,Fineli: Base de donn闁憇 finlandaise sur la composition des aliments. Institut National de la Sant?Publique
102,51,Calculated using a recipe,Calcul?d'apr閼?une recette
106,16,Calculated field,Champ calcul?
107,17,Calculated from analytical Canadian data,Calcul??partir de donn闁憇 analytiques canadiennes
108,18,Imputed data that USDA has deleted,
